Transaction Date,Type,Order,Card Brand,Card Source,Payout Status,Payout Date,Available On,Amount,Fee,Net,Checkout,Payment Method Name,Presentment Amount,Presentment Currency,Currency
2025-06-30 23:32:39 -0400,charge,#43033,visa,online,paid,2025-07-03,2025-07-03,64.00,1.84,62.16,#35756536135773,card,64.00,USD,USD
2025-06-30 22:53:38 -0400,charge,#43032,visa,online,paid,2025-07-02,2025-07-01,47.00,1.43,45.57,#35756281069661,card,47.00,USD,USD
2025-06-30 22:04:02 -0400,charge,#43031,american_express,online,paid,2025-07-03,2025-07-03,76.00,2.88,73.12,#35755939528797,card,76.00,USD,USD
2025-06-30 15:09:26 -0400,charge,#43030,visa,online,paid,2025-07-02,2025-07-02,79.50,2.21,77.29,#35753153167453,card,79.50,USD,USD
2025-06-30 10:33:20 -0400,charge,#43029,visa,online,paid,2025-07-02,2025-07-02,205.00,5.22,199.78,#35751289061469,card,205.00,USD,USD
2025-06-30 09:05:31 -0400,charge,#43028,discover,online,paid,2025-07-02,2025-07-02,58.50,1.70,56.80,#35750718701661,card,58.50,USD,USD
2025-06-30 08:59:56 -0400,charge,#43027,master,online,paid,2025-07-02,2025-07-02,33.50,1.10,32.40,#35750688292957,card,33.50,USD,USD
2025-06-30 07:43:28 -0400,charge,#43026,american_express,online,paid,2025-07-02,2025-07-02,143.00,5.16,137.84,#35750236913757,card,143.00,USD,USD
2025-06-30 02:36:24 -0400,charge,#43025,visa,online,paid,2025-07-02,2025-07-02,126.00,3.32,122.68,#35748562272349,card,126.00,USD,USD
2025-06-29 22:40:31 -0400,charge,#43024,visa,online,paid,2025-07-02,2025-07-02,43.00,1.33,41.67,#35747146399837,card,43.00,USD,USD
2025-06-29 17:47:55 -0400,charge,#43023,visa,online,paid,2025-07-01,2025-06-29,50.50,1.51,48.99,#35745308016733,card,50.50,USD,USD
2025-06-29 16:08:06 -0400,charge,#43022,american_express,online,paid,2025-07-01,2025-07-01,143.00,5.16,137.84,#35744667926621,card,143.00,USD,USD
2025-06-29 14:27:21 -0400,charge,#43021,american_express,online,paid,2025-07-01,2025-07-01,98.00,3.63,94.37,#35743972393053,card,98.00,USD,USD
2025-06-29 13:11:36 -0400,charge,#43020,master,online,paid,2025-07-01,2025-07-01,27.00,0.95,26.05,#35743474024541,card,27.00,USD,USD
2025-06-29 12:03:47 -0400,charge,#43019,visa,online,paid,2025-07-01,2025-07-01,54.00,1.60,52.40,#35742997676125,card,54.00,USD,USD
2025-06-29 11:46:40 -0400,charge,#43018,visa,online,paid,2025-07-01,2025-07-01,79.00,2.20,76.80,#35742905729117,card,79.00,USD,USD
2025-06-29 10:05:42 -0400,charge,#43017,visa,stripe_terminal,paid,2025-07-01,2025-07-01,176.19,4.23,171.96,#35742157013085,card,176.19,USD,USD
2025-06-29 07:26:57 -0400,charge,#43016,master,online,paid,2025-07-01,2025-06-29,77.50,2.16,75.34,#35741326344285,card,77.50,USD,USD
2025-06-29 06:54:09 -0400,charge,#43015,american_express,online,paid,2025-07-01,2025-07-01,145.50,5.25,140.25,#35741156114525,card,145.50,USD,USD
2025-06-28 19:37:22 -0400,charge,#43014,visa,online,paid,2025-06-30,2025-06-28,208.50,5.30,203.20,#35737320882269,card,208.50,USD,USD
2025-06-28 18:50:50 -0400,charge,#43013,master,online,paid,2025-07-01,2025-07-01,107.00,2.87,104.13,#35737002704989,card,107.00,USD,USD
2025-06-28 18:47:25 -0400,charge,#43012,visa,online,paid,2025-06-30,2025-06-28,54.00,1.60,52.40,#35737029279837,card,54.00,USD,USD
2025-06-28 17:25:09 -0400,charge,#43011,master,stripe_terminal,paid,2025-07-01,2025-07-01,24.05,0.58,23.47,#35736339120221,card,24.05,USD,USD
2025-06-28 17:13:57 -0400,charge,#43010,master,stripe_terminal,paid,2025-07-01,2025-07-01,24.14,0.58,23.56,#35735957110877,card,24.14,USD,USD
2025-06-28 17:11:21 -0400,charge,#43009,visa,stripe_terminal,paid,2025-07-01,2025-07-01,74.91,1.80,73.11,#35736039456861,card,74.91,USD,USD
2025-06-28 16:25:14 -0400,charge,#43008,visa,stripe_terminal,paid,2025-07-01,2025-07-01,86.83,2.08,84.75,#35736012619869,card,86.83,USD,USD
2025-06-28 16:25:05 -0400,charge,#43007,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,21.42,0.51,20.91,#35736012390493,card,21.42,USD,USD
2025-06-28 16:17:59 -0400,charge,#43006,visa,stripe_terminal,paid,2025-07-01,2025-07-01,25.85,0.62,25.23,#35735963795549,card,25.85,USD,USD
2025-06-28 16:15:40 -0400,charge,#43005,visa,stripe_terminal,paid,2025-07-01,2025-07-01,130.22,3.13,127.09,#35735732551773,card,130.22,USD,USD
2025-06-28 16:14:23 -0400,charge,#43004,visa,stripe_terminal,paid,2025-07-01,2025-07-01,60.11,1.44,58.67,#35735902191709,card,60.11,USD,USD
2025-06-28 16:06:06 -0400,charge,#43003,visa,stripe_terminal,paid,2025-07-01,2025-07-01,62.25,1.49,60.76,#35735734878301,card,62.25,USD,USD
2025-06-28 15:50:42 -0400,charge,#43002,visa,stripe_terminal,paid,2025-07-01,2025-07-01,97.86,2.35,95.51,#35735764172893,card,97.86,USD,USD
2025-06-28 15:46:03 -0400,charge,#43001,visa,stripe_terminal,paid,2025-07-01,2025-07-01,17.82,0.43,17.39,#35735450681437,card,17.82,USD,USD
2025-06-28 15:43:27 -0400,charge,#43000,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,101.73,2.44,99.29,#35735350804573,card,101.73,USD,USD
2025-06-28 15:35:18 -0400,charge,#42999,visa,stripe_terminal,paid,2025-07-01,2025-07-01,7.39,0.18,7.21,#35735493935197,card,7.39,USD,USD
2025-06-28 15:15:52 -0400,refund,#41973,american_express,online,paid,2025-06-30,2025-06-28,-179.55,0.00,-179.55,#35602861916253,card,179.55,USD,USD
2025-06-28 15:08:55 -0400,charge,#42997,master,stripe_terminal,paid,2025-07-01,2025-07-01,101.22,2.43,98.79,#35735416111197,card,101.22,USD,USD
2025-06-28 15:02:52 -0400,charge,#42996,visa,stripe_terminal,paid,2025-07-01,2025-07-01,50.04,1.20,48.84,#35735443963997,card,50.04,USD,USD
2025-06-28 14:57:52 -0400,charge,#42995,visa,stripe_terminal,paid,2025-07-01,2025-07-01,54.86,1.32,53.54,#35735362666589,card,54.86,USD,USD
2025-06-28 14:56:23 -0400,charge,#42994,visa,stripe_terminal,paid,2025-07-01,2025-07-01,53.28,1.28,52.00,#35735284416605,card,53.28,USD,USD
2025-06-28 14:53:56 -0400,charge,#42993,visa,stripe_terminal,paid,2025-07-01,2025-07-01,54.83,1.32,53.51,#35734973677661,card,54.83,USD,USD
2025-06-28 14:48:34 -0400,charge,#42991,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,159.77,3.83,155.94,#35735141351517,card,159.77,USD,USD
2025-06-28 14:38:11 -0400,charge,#42990,visa,stripe_terminal,paid,2025-07-01,2025-07-01,84.24,2.02,82.22,#35735031119965,card,84.24,USD,USD
2025-06-28 14:22:36 -0400,charge,#42989,visa,stripe_terminal,paid,2025-07-01,2025-07-01,7.33,0.18,7.15,#35734911647837,card,7.33,USD,USD
2025-06-28 14:17:39 -0400,charge,#42988,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,102.64,2.46,100.18,#35735065264221,card,102.64,USD,USD
2025-06-28 14:06:03 -0400,charge,#42987,master,stripe_terminal,paid,2025-07-01,2025-07-01,12.66,0.30,12.36,#35734926524509,card,12.66,USD,USD
2025-06-28 13:54:22 -0400,charge,#42986,visa,stripe_terminal,paid,2025-07-01,2025-07-01,49.86,1.20,48.66,#35734969450589,card,49.86,USD,USD
2025-06-28 13:49:19 -0400,charge,#42985,master,stripe_terminal,paid,2025-07-01,2025-07-01,96.91,2.33,94.58,#35734802137181,card,96.91,USD,USD
2025-06-28 13:48:15 -0400,charge,#42984,visa,stripe_terminal,paid,2025-07-01,2025-07-01,30.62,0.73,29.89,#35734919741533,card,30.62,USD,USD
2025-06-28 13:47:15 -0400,charge,#42983,visa,stripe_terminal,paid,2025-07-01,2025-07-01,60.29,1.45,58.84,#35734923018333,card,60.29,USD,USD
2025-06-28 13:46:01 -0400,charge,#42982,master,stripe_terminal,paid,2025-07-01,2025-07-01,86.00,2.06,83.94,#35734850043997,card,86.00,USD,USD
2025-06-28 13:45:01 -0400,charge,#42981,visa,stripe_terminal,paid,2025-07-01,2025-07-01,36.93,0.89,36.04,#35734889857117,card,36.93,USD,USD
2025-06-28 13:41:52 -0400,charge,#42980,visa,stripe_terminal,paid,2025-07-01,2025-07-01,115.46,2.77,112.69,#35734820552797,card,115.46,USD,USD
2025-06-28 13:41:40 -0400,charge,#42979,visa,stripe_terminal,paid,2025-07-01,2025-07-01,94.95,2.28,92.67,#35734675292253,card,94.95,USD,USD
2025-06-28 13:36:43 -0400,charge,#42978,visa,stripe_terminal,paid,2025-07-01,2025-07-01,5.35,0.13,5.22,#35734809641053,card,5.35,USD,USD
2025-06-28 13:33:15 -0400,charge,#42977,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,62.25,1.49,60.76,#35734809608285,card,62.25,USD,USD
2025-06-28 13:31:50 -0400,charge,#42976,master,stripe_terminal,paid,2025-07-01,2025-07-01,78.39,1.88,76.51,#35734789554269,card,78.39,USD,USD
2025-06-28 13:31:34 -0400,charge,#42975,american_express,stripe_terminal,paid,2025-07-01,2025-07-01,105.51,2.53,102.98,#35734734078045,card,105.51,USD,USD
2025-06-28 13:28:25 -0400,charge,#42974,visa,stripe_terminal,paid,2025-07-01,2025-07-01,53.20,1.28,51.92,#35734626009181,card,53.20,USD,USD
2025-06-28 13:27:44 -0400,charge,#42973,visa,stripe_terminal,paid,2025-07-01,2025-07-01,23.17,0.56,22.61,#35734768320605,card,23.17,USD,USD
2025-06-28 13:26:00 -0400,charge,#42972,visa,stripe_terminal,paid,2025-07-01,2025-07-01,4.86,0.12,4.74,#35734761537629,card,4.86,USD,USD
